,FFP_TIER,AGE,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
count,62988.0,62568.0,62988.0,62988.0,62988.0,62988.0,62437.0,62850.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0,62988.0
mean,4.102162316631739,42.47634573583941,11.839413856607608,10925.081253572109,0.0,265.68962342033404,5355.376063712222,5604.026014319809,17123.878691179274,12777.152438718485,1.5421538342905474,1421.4402489930185,120.14548802946592,176.12010224169683,67.74978791424682,166.0338953451451,540.3169651362164,814.6892582714167,0.3197751952752905,0.7215577705701404,5.766257064837747,6.073156791769861,5366.7205499460215,5558.360703626087,265.68962342033404,1355.0062234076331,1620.6958468279672,1080.3788816917508,12545.777100400077,6638.739585317839,0.48641864610365465,0.5135813538963453,0.5222934295012859,0.46842155035244815,2.7281545691242775
std,0.3738559794063847,9.885914823660336,14.049470820037174,16339.486151414194,0.0,1645.7028540473168,8109.450146894959,8703.364247170686,20960.844623255092,17578.5866946104,1.7869961185917134,2083.121323832869,159.57286658424061,183.82222339843747,77.5178660091203,123.39717999053399,3956.083454768182,5121.796928673667,1.1360043077271216,0.18542662280874722,7.2109215764362435,8.175126539989348,8537.773021409006,9351.956951918324,1645.7028540473168,7868.477000097988,8294.398955295665,5639.857254479546,20507.81670041633,12601.819863484414,0.3191046047803371,0.3191046047803371,0.3396316267235916,0.33895586479879913,7.364163755463451
min,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,4.0,35.0,3.0,2518.0,0.0,0.0,1003.0,780.0,4747.0,3219.045,0.428571429,336.0,9.0,29.0,23.37037037,79.0,0.0,0.0,0.0,0.61199713925,2.0,1.0,946.0,545.0,0.0,0.0,0.0,0.0,2775.0,700.0,0.25,0.288888889,0.258150266,0.1679544925,0.0
50%,4.0,41.0,7.0,5700.0,0.0,0.0,2800.0,2773.0,9994.0,6978.255,0.875,752.375,50.0,108.0,44.66666667,143.0,0.0,0.0,0.0,0.7118563535,3.0,3.0,2692.0,2547.0,0.0,0.0,0.0,0.0,6328.5,2860.5,0.5,0.5,0.514251674,0.4767473055,0.0
75%,4.0,48.0,15.0,12831.0,0.0,0.0,6574.0,6845.75,21271.25,15299.6325,1.875,1690.27083325,166.0,268.0,82.0,228.0,0.0,0.0,0.0,0.8094760255,7.0,8.0,6485.25,6619.25,0.0,0.0,345.0,0.0,14302.5,7500.0,0.7111111109999999,0.75,0.8150913464999999,0.7283746282499999,1.0
max,6.0,110.0,213.0,505308.0,0.0,74460.0,239560.0,234188.0,580717.0,558440.14,26.625,63163.5,729.0,731.0,728.0,728.0,600000.0,728282.0,46.0,1.5,118.0,111.0,246197.0,259111.0,74460.0,984938.0,984938.0,728282.0,985572.0,728282.0,1.0,1.0,0.99998861,0.999993205,140.0
